staff_id,store_id,staff_name,role_name,email,joined_date,employment_status
STF00074,S0074,员工0074,活动运营,staff0074@example.invalid,2026-05-03,active
STF00075,S0075,员工0075,客服,staff0075@example.invalid,2024-07-30,left
STF00076,S0076,员工0076,客服,staff0076@example.invalid,2025-02-28,active
STF00077,S0077,员工0077,活动运营,staff0077@example.invalid,2025-10-15,active
STF00078,S0078,员工0078,商品运营,staff0078@example.invalid,2026-01-26,active
STF00079,S0079,员工0079,客服,staff0079@example.invalid,2024-02-11,active
STF00080,S0080,员工0080,商品运营,staff0080@example.invalid,2023-12-26,active
STF00081,S0001,员工0081,客服,staff0081@example.invalid,2025-04-14,active
STF00082,S0002,员工0082,商品运营,staff0082@example.invalid,2024-02-02,active
STF00083,S0003,员工0083,店长,staff0083@example.invalid,2025-07-01,active
STF00084,S0004,员工0084,商品运营,staff0084@example.invalid,2025-04-03,active
STF00085,S0005,员工0085,客服,staff0085@example.invalid,2025-05-27,active
STF00086,S0006,员工0086,商品运营,staff0086@example.invalid,2026-07-06,active
STF00087,S0007,员工0087,客服,staff0087@example.invalid,2026-04-14,active
STF00088,S0008,员工0088,活动运营,staff0088@example.invalid,2024-08-29,active
STF00089,S0009,员工0089,活动运营,staff0089@example.invalid,2025-10-12,active
STF00090,S0010,员工0090,客服,staff0090@example.invalid,2026-04-30,active
STF00091,S0011,员工0091,商品运营,staff0091@example.invalid,2023-08-21,active
STF00092,S0012,员工0092,店长,staff0092@example.invalid,2025-06-18,active
STF00093,S0013,员工0093,仓配协调,staff0093@example.invalid,2025-10-29,active
STF00094,S0014,员工0094,仓配协调,staff0094@example.invalid,2025-07-14,active
STF00095,S0015,员工0095,客服,staff0095@example.invalid,2026-01-19,active
STF00096,S0016,员工0096,客服,staff0096@example.invalid,2026-03-23,active
STF00097,S0017,员工0097,商品运营,staff0097@example.invalid,2023-11-13,active
STF00098,S0018,员工0098,商品运营,staff0098@example.invalid,2024-07-20,active
STF00099,S0019,员工0099,客服,staff0099@example.invalid,2023-09-09,active
STF00100,S0020,员工0100,活动运营,staff0100@example.invalid,2023-12-03,active
STF00101,S0021,员工0101,活动运营,staff0101@example.invalid,2024-03-25,active
STF00102,S0022,员工0102,商品运营,staff0102@example.invalid,2025-02-03,active
STF00103,S0023,员工0103,活动运营,staff0103@example.invalid,2024-10-11,active
STF00104,S0024,员工0104,商品运营,staff0104@example.invalid,2023-11-02,active
STF00105,S0025,员工0105,客服,staff0105@example.invalid,2025-10-16,active
STF00106,S0026,员工0106,客服,staff0106@example.invalid,2025-12-11,active
STF00107,S0027,员工0107,活动运营,staff0107@example.invalid,2025-06-21,active
STF00108,S0028,员工0108,店长,staff0108@example.invalid,2023-10-31,active
STF00109,S0029,员工0109,客服,staff0109@example.invalid,2026-04-01,left
STF00110,S0030,员工0110,客服,staff0110@example.invalid,2026-05-03,active
STF00111,S0031,员工0111,活动运营,staff0111@example.invalid,2024-10-30,left
STF00112,S0032,员工0112,客服,staff0112@example.invalid,2023-11-01,active
STF00113,S0033,员工0113,客服,staff0113@example.invalid,2024-09-24,active
STF00114,S0034,员工0114,活动运营,staff0114@example.invalid,2025-06-11,active
STF00115,S0035,员工0115,客服,staff0115@example.invalid,2025-10-05,active
STF00116,S0036,员工0116,商品运营,staff0116@example.invalid,2024-12-22,active
STF00117,S0037,员工0117,店长,staff0117@example.invalid,2024-07-23,active
STF00118,S0038,员工0118,仓配协调,staff0118@example.invalid,2023-11-07,left
STF00119,S0039,员工0119,商品运营,staff0119@example.invalid,2025-03-02,active
STF00120,S0040,员工0120,客服,staff0120@example.invalid,2023-11-24,active
STF00121,S0041,员工0121,客服,staff0121@example.invalid,2025-03-04,active
STF00122,S0042,员工0122,客服,staff0122@example.invalid,2024-04-25,active
STF00123,S0043,员工0123,活动运营,staff0123@example.invalid,2024-07-11,active
STF00124,S0044,员工0124,店长,staff0124@example.invalid,2026-04-12,active
STF00125,S0045,员工0125,商品运营,staff0125@example.invalid,2025-10-03,left
STF00126,S0046,员工0126,客服,staff0126@example.invalid,2023-10-01,active
STF00127,S0047,员工0127,商品运营,staff0127@example.invalid,2026-01-27,active
STF00128,S0048,员工0128,客服,staff0128@example.invalid,2026-03-14,active
STF00129,S0049,员工0129,活动运营,staff0129@example.invalid,2026-04-11,active
STF00130,S0050,员工0130,客服,staff0130@example.invalid,2024-08-01,active
STF00131,S0051,员工0131,商品运营,staff0131@example.invalid,2026-07-14,active
STF00132,S0052,员工0132,客服,staff0132@example.invalid,2026-04-14,active
STF00133,S0053,员工0133,仓配协调,staff0133@example.invalid,2024-02-21,active
STF00134,S0054,员工0134,商品运营,staff0134@example.invalid,2024-12-13,active
STF00135,S0055,员工0135,活动运营,staff0135@example.invalid,2025-01-24,active
STF00136,S0056,员工0136,客服,staff0136@example.invalid,2025-01-07,active
STF00137,S0057,员工0137,仓配协调,staff0137@example.invalid,2024-07-03,active
STF00138,S0058,员工0138,商品运营,staff0138@example.invalid,2026-02-09,active
STF00139,S0059,员工0139,商品运营,staff0139@example.invalid,2026-03-30,active
STF00140,S0060,员工0140,仓配协调,staff0140@example.invalid,2025-02-16,active
STF00141,S0061,员工0141,客服,staff0141@example.invalid,2024-10-28,active
STF00142,S0062,员工0142,客服,staff0142@example.invalid,2025-10-21,active
STF00143,S0063,员工0143,客服,staff0143@example.invalid,2023-10-18,active
STF00144,S0064,员工0144,客服,staff0144@example.invalid,2024-02-05,active
STF00145,S0065,员工0145,商品运营,staff0145@example.invalid,2025-04-30,active
STF00146,S0066,员工0146,商品运营,staff0146@example.invalid,2025-04-29,active
STF00147,S0067,员工0147,客服,staff0147@example.invalid,2025-05-13,active
STF00148,S0068,员工0148,商品运营,staff0148@example.invalid,2024-03-10,active
STF00149,S0069,员工0149,客服,staff0149@example.invalid,2024-11-15,active
STF00150,S0070,员工0150,客服,staff0150@example.invalid,2024-09-03,active
STF00151,S0071,员工0151,仓配协调,staff0151@example.invalid,2024-01-09,active
STF00152,S0072,员工0152,客服,staff0152@example.invalid,2025-08-14,active
STF00153,S0073,员工0153,客服,staff0153@example.invalid,2026-02-08,active
STF00154,S0074,员工0154,商品运营,staff0154@example.invalid,2026-08-11,active
STF00155,S0075,员工0155,仓配协调,staff0155@example.invalid,2024-09-27,active
STF00156,S0076,员工0156,活动运营,staff0156@example.invalid,2023-10-10,active
STF00157,S0077,员工0157,商品运营,staff0157@example.invalid,2026-02-21,active
STF00158,S0078,员工0158,仓配协调,staff0158@example.invalid,2023-10-13,active
STF00159,S0079,员工0159,商品运营,staff0159@example.invalid,2026-07-14,active
STF00160,S0080,员工0160,活动运营,staff0160@example.invalid,2024-05-05,active
STF00161,S0001,员工0161,仓配协调,staff0161@example.invalid,2025-02-08,active
STF00162,S0002,员工0162,活动运营,staff0162@example.invalid,2025-03-24,active
STF00163,S0003,员工0163,活动运营,staff0163@example.invalid,2025-07-23,active
STF00164,S0004,员工0164,活动运营,staff0164@example.invalid,2025-04-09,active
STF00165,S0005,员工0165,商品运营,staff0165@example.invalid,2026-03-24,active
STF00166,S0006,员工0166,仓配协调,staff0166@example.invalid,2024-09-07,active
STF00167,S0007,员工0167,客服,staff0167@example.invalid,2024-08-24,active
STF00168,S0008,员工0168,客服,staff0168@example.invalid,2025-12-17,active
STF00169,S0009,员工0169,客服,staff0169@example.invalid,2025-04-08,active
STF00170,S0010,员工0170,客服,staff0170@example.invalid,2025-10-30,left
STF00171,S0011,员工0171,仓配协调,staff0171@example.invalid,2023-12-12,active
STF00172,S0012,员工0172,商品运营,staff0172@example.invalid,2025-10-28,left
STF00173,S0013,员工0173,店长,staff0173@example.invalid,2026-03-07,active
STF00174,S0014,员工0174,客服,staff0174@example.invalid,2025-05-16,active
STF00175,S0015,员工0175,客服,staff0175@example.invalid,2025-02-13,active
STF00176,S0016,员工0176,活动运营,staff0176@example.invalid,2024-09-03,active
STF00177,S0017,员工0177,商品运营,staff0177@example.invalid,2026-02-28,active
STF00178,S0018,员工0178,客服,staff0178@example.invalid,2026-04-02,active
STF00179,S0019,员工0179,客服,staff0179@example.invalid,2026-08-02,active
STF00180,S0020,员工0180,商品运营,staff0180@example.invalid,2025-10-31,left
STF00181,S0021,员工0181,店长,staff0181@example.invalid,2025-10-08,active
STF00182,S0022,员工0182,活动运营,staff0182@example.invalid,2025-06-11,active
STF00183,S0023,员工0183,活动运营,staff0183@example.invalid,2024-05-26,active
STF00184,S0024,员工0184,客服,staff0184@example.invalid,2025-02-12,active
STF00185,S0025,员工0185,活动运营,staff0185@example.invalid,2026-07-08,active
STF00186,S0026,员工0186,商品运营,staff0186@example.invalid,2025-07-10,active
STF00187,S0027,员工0187,客服,staff0187@example.invalid,2024-07-28,active
STF00188,S0028,员工0188,活动运营,staff0188@example.invalid,2024-02-04,active
STF00189,S0029,员工0189,客服,staff0189@example.invalid,2026-02-13,active
STF00190,S0030,员工0190,客服,staff0190@example.invalid,2025-05-27,active
STF00191,S0031,员工0191,客服,staff0191@example.invalid,2023-10-17,active
STF00192,S0032,员工0192,仓配协调,staff0192@example.invalid,2023-10-30,active
STF00193,S0033,员工0193,商品运营,staff0193@example.invalid,2023-09-21,left
STF00194,S0034,员工0194,客服,staff0194@example.invalid,2023-12-16,active
STF00195,S0035,员工0195,商品运营,staff0195@example.invalid,2026-06-19,active
STF00196,S0036,员工0196,商品运营,staff0196@example.invalid,2024-11-27,active
STF00197,S0037,员工0197,活动运营,staff0197@example.invalid,2024-05-24,active
STF00198,S0038,员工0198,商品运营,staff0198@example.invalid,2026-01-13,active
STF00199,S0039,员工0199,活动运营,staff0199@example.invalid,2024-11-17,active
STF00200,S0040,员工0200,客服,staff0200@example.invalid,2024-04-27,active
STF00201,S0041,员工0201,客服,staff0201@example.invalid,2024-05-25,left
STF00202,S0042,员工0202,客服,staff0202@example.invalid,2024-12-28,active
STF00203,S0043,员工0203,仓配协调,staff0203@example.invalid,2024-04-23,active
STF00204,S0044,员工0204,客服,staff0204@example.invalid,2024-02-19,active
STF00205,S0045,员工0205,客服,staff0205@example.invalid,2024-11-02,active
STF00206,S0046,员工0206,客服,staff0206@example.invalid,2025-07-23,active
STF00207,S0047,员工0207,店长,staff0207@example.invalid,2025-01-24,left
STF00208,S0048,员工0208,客服,staff0208@example.invalid,2026-06-06,active
STF00209,S0049,员工0209,活动运营,staff0209@example.invalid,2024-11-24,active
STF00210,S0050,员工0210,商品运营,staff0210@example.invalid,2025-10-10,active
STF00211,S0051,员工0211,商品运营,staff0211@example.invalid,2025-11-03,active
STF00212,S0052,员工0212,活动运营,staff0212@example.invalid,2025-09-14,active
STF00213,S0053,员工0213,活动运营,staff0213@example.invalid,2025-08-04,active
STF00214,S0054,员工0214,商品运营,staff0214@example.invalid,2024-01-29,active
STF00215,S0055,员工0215,仓配协调,staff0215@example.invalid,2025-04-28,active
STF00216,S0056,员工0216,商品运营,staff0216@example.invalid,2025-09-05,active
STF00217,S0057,员工0217,仓配协调,staff0217@example.invalid,2024-05-31,active
STF00218,S0058,员工0218,商品运营,staff0218@example.invalid,2026-01-08,active
STF00219,S0059,员工0219,客服,staff0219@example.invalid,2026-01-15,active
STF00220,S0060,员工0220,客服,staff0220@example.invalid,2023-11-05,active
STF00221,S0061,员工0221,商品运营,staff0221@example.invalid,2023-09-13,active
STF00222,S0062,员工0222,商品运营,staff0222@example.invalid,2025-05-06,active
STF00223,S0063,员工0223,商品运营,staff0223@example.invalid,2023-10-15,active
STF00224,S0064,员工0224,客服,staff0224@example.invalid,2024-11-26,active
STF00225,S0065,员工0225,活动运营,staff0225@example.invalid,2024-02-17,active
STF00226,S0066,员工0226,活动运营,staff0226@example.invalid,2024-04-21,active
STF00227,S0067,员工0227,商品运营,staff0227@example.invalid,2023-10-23,active
STF00228,S0068,员工0228,商品运营,staff0228@example.invalid,2024-07-05,active
STF00229,S0069,员工0229,客服,staff0229@example.invalid,2025-02-11,active
STF00230,S0070,员工0230,活动运营,staff0230@example.invalid,2024-01-20,active
STF00231,S0071,员工0231,客服,staff0231@example.invalid,2025-09-19,active
STF00232,S0072,员工0232,客服,staff0232@example.invalid,2024-04-09,active
STF00233,S0073,员工0233,商品运营,staff0233@example.invalid,2025-06-20,active
STF00234,S0074,员工0234,店长,staff0234@example.invalid,2024-05-23,active
STF00235,S0075,员工0235,客服,staff0235@example.invalid,2024-01-09,active
STF00236,S0076,员工0236,商品运营,staff0236@example.invalid,2024-09-16,active
STF00237,S0077,员工0237,客服,staff0237@example.invalid,2025-12-07,active
STF00238,S0078,员工0238,商品运营,staff0238@example.invalid,2026-02-11,active
STF00239,S0079,员工0239,活动运营,staff0239@example.invalid,2026-04-23,active
STF00240,S0080,员工0240,仓配协调,staff0240@example.invalid,2024-12-17,active
STF00241,S0001,员工0241,客服,staff0241@example.invalid,2024-08-11,active
STF00242,S0002,员工0242,活动运营,staff0242@example.invalid,2025-07-30,active
STF00243,S0003,员工0243,客服,staff0243@example.invalid,2025-05-24,active
STF00244,S0004,员工0244,活动运营,staff0244@example.invalid,2025-05-21,active
STF00245,S0005,员工0245,活动运营,staff0245@example.invalid,2026-01-02,active
STF00246,S0006,员工0246,活动运营,staff0246@example.invalid,2024-09-09,active
STF00247,S0007,员工0247,仓配协调,staff0247@example.invalid,2026-04-24,left
STF00248,S0008,员工0248,客服,staff0248@example.invalid,2025-10-29,active
STF00249,S0009,员工0249,客服,staff0249@example.invalid,2023-11-09,active
STF00250,S0010,员工0250,商品运营,staff0250@example.invalid,2026-03-21,active
STF00251,S0011,员工0251,客服,staff0251@example.invalid,2024-02-16,left
STF00252,S0012,员工0252,客服,staff0252@example.invalid,2024-04-14,active
STF00253,S0013,员工0253,客服,staff0253@example.invalid,2025-12-30,active
STF00254,S0014,员工0254,商品运营,staff0254@example.invalid,2026-07-11,active
STF00255,S0015,员工0255,活动运营,staff0255@example.invalid,2025-09-08,active
STF00256,S0016,员工0256,活动运营,staff0256@example.invalid,2025-12-24,active
STF00257,S0017,员工0257,店长,staff0257@example.invalid,2025-05-28,active
STF00258,S0018,员工0258,活动运营,staff0258@example.invalid,2025-01-01,active
STF00259,S0019,员工0259,商品运营,staff0259@example.invalid,2025-02-06,active
STF00260,S0020,员工0260,商品运营,staff0260@example.invalid,2026-07-10,active
STF00261,S0021,员工0261,店长,staff0261@example.invalid,2026-07-24,left
STF00262,S0022,员工0262,商品运营,staff0262@example.invalid,2026-07-29,left
STF00263,S0023,员工0263,商品运营,staff0263@example.invalid,2024-01-26,active
STF00264,S0024,员工0264,仓配协调,staff0264@example.invalid,2024-07-01,active
STF00265,S0025,员工0265,客服,staff0265@example.invalid,2024-05-07,active
STF00266,S0026,员工0266,客服,staff0266@example.invalid,2026-02-12,left
STF00267,S0027,员工0267,活动运营,staff0267@example.invalid,2024-04-15,active
STF00268,S0028,员工0268,客服,staff0268@example.invalid,2025-09-04,active
STF00269,S0029,员工0269,店长,staff0269@example.invalid,2026-04-09,active
STF00270,S0030,员工0270,商品运营,staff0270@example.invalid,2025-08-05,active
STF00271,S0031,员工0271,商品运营,staff0271@example.invalid,2024-07-24,active
STF00272,S0032,员工0272,商品运营,staff0272@example.invalid,2023-12-29,active
STF00273,S0033,员工0273,活动运营,staff0273@example.invalid,2024-09-18,active
STF00274,S0034,员工0274,店长,staff0274@example.invalid,2026-01-21,active
STF00275,S0035,员工0275,仓配协调,staff0275@example.invalid,2026-04-02,active
STF00276,S0036,员工0276,商品运营,staff0276@example.invalid,2026-01-14,active
STF00277,S0037,员工0277,客服,staff0277@example.invalid,2024-09-02,active
STF00278,S0038,员工0278,活动运营,staff0278@example.invalid,2024-12-14,active
STF00279,S0039,员工0279,客服,staff0279@example.invalid,2026-05-05,active
STF00280,S0040,员工0280,商品运营,staff0280@example.invalid,2024-06-12,active
STF00281,S0041,员工0281,商品运营,staff0281@example.invalid,2024-04-11,active
STF00282,S0042,员工0282,商品运营,staff0282@example.invalid,2024-06-26,active
STF00283,S0043,员工0283,客服,staff0283@example.invalid,2024-02-26,active
STF00284,S0044,员工0284,仓配协调,staff0284@example.invalid,2024-04-04,active
STF00285,S0045,员工0285,客服,staff0285@example.invalid,2024-04-18,active
STF00286,S0046,员工0286,客服,staff0286@example.invalid,2025-07-23,active
STF00287,S0047,员工0287,商品运营,staff0287@example.invalid,2025-07-21,active
STF00288,S0048,员工0288,商品运营,staff0288@example.invalid,2025-11-19,left
STF00289,S0049,员工0289,商品运营,staff0289@example.invalid,2023-10-16,active
STF00290,S0050,员工0290,活动运营,staff0290@example.invalid,2025-05-08,left
STF00291,S0051,员工0291,仓配协调,staff0291@example.invalid,2025-05-06,active
STF00292,S0052,员工0292,活动运营,staff0292@example.invalid,2025-05-27,active
STF00293,S0053,员工0293,商品运营,staff0293@example.invalid,2026-04-21,active
STF00294,S0054,员工0294,活动运营,staff0294@example.invalid,2023-11-06,active
STF00295,S0055,员工0295,商品运营,staff0295@example.invalid,2024-09-10,active
STF00296,S0056,员工0296,店长,staff0296@example.invalid,2024-08-09,active
STF00297,S0057,员工0297,活动运营,staff0297@example.invalid,2026-04-14,active
STF00298,S0058,员工0298,客服,staff0298@example.invalid,2024-09-17,left
STF00299,S0059,员工0299,活动运营,staff0299@example.invalid,2024-06-03,active
STF00300,S0060,员工0300,客服,staff0300@example.invalid,2025-12-20,active
STF00301,S0061,员工0301,店长,staff0301@example.invalid,2025-12-18,active
STF00302,S0062,员工0302,店长,staff0302@example.invalid,2025-09-01,active
STF00303,S0063,员工0303,店长,staff0303@example.invalid,2025-04-08,left
STF00304,S0064,员工0304,商品运营,staff0304@example.invalid,2024-08-15,active
STF00305,S0065,员工0305,活动运营,staff0305@example.invalid,2025-03-19,active
STF00306,S0066,员工0306,客服,staff0306@example.invalid,2026-07-18,active
STF00307,S0067,员工0307,客服,staff0307@example.invalid,2026-02-15,active
STF00308,S0068,员工0308,活动运营,staff0308@example.invalid,2026-01-24,active
STF00309,S0069,员工0309,商品运营,staff0309@example.invalid,2026-08-08,active
STF00310,S0070,员工0310,商品运营,staff0310@example.invalid,2025-08-29,active
STF00311,S0071,员工0311,客服,staff0311@example.invalid,2024-10-08,active
STF00312,S0072,员工0312,客服,staff0312@example.invalid,2024-07-30,active
STF00313,S0073,员工0313,商品运营,staff0313@example.invalid,2025-10-17,active
STF00314,S0074,员工0314,客服,staff0314@example.invalid,2025-01-08,active
STF00315,S0075,员工0315,客服,staff0315@example.invalid,2026-07-09,active
STF00316,S0076,员工0316,客服,staff0316@example.invalid,2024-11-14,active
STF00317,S0077,员工0317,客服,staff0317@example.invalid,2024-05-18,active
STF00318,S0078,员工0318,仓配协调,staff0318@example.invalid,2025-10-03,active
STF00319,S0079,员工0319,商品运营,staff0319@example.invalid,2024-04-20,active
STF00320,S0080,员工0320,商品运营,staff0320@example.invalid,2023-11-02,active
STF00321,S0001,员工0321,仓配协调,staff0321@example.invalid,2025-04-23,active
STF00322,S0002,员工0322,商品运营,staff0322@example.invalid,2026-03-02,active
STF00323,S0003,员工0323,活动运营,staff0323@example.invalid,2024-01-27,active
STF00324,S0004,员工0324,客服,staff0324@example.invalid,2023-11-30,active
STF00325,S0005,员工0325,仓配协调,staff0325@example.invalid,2025-04-15,active
STF00326,S0006,员工0326,店长,staff0326@example.invalid,2024-11-13,active
STF00327,S0007,员工0327,店长,staff0327@example.invalid,2026-06-26,active
STF00328,S0008,员工0328,客服,staff0328@example.invalid,2023-11-26,active
STF00329,S0009,员工0329,仓配协调,staff0329@example.invalid,2025-05-16,active
STF00330,S0010,员工0330,商品运营,staff0330@example.invalid,2025-11-01,active
STF00331,S0011,员工0331,客服,staff0331@example.invalid,2025-12-10,active
STF00332,S0012,员工0332,客服,staff0332@example.invalid,2025-05-27,active
STF00333,S0013,员工0333,客服,staff0333@example.invalid,2025-05-28,active
STF00334,S0014,员工0334,店长,staff0334@example.invalid,2025-09-13,left
STF00335,S0015,员工0335,店长,staff0335@example.invalid,2026-01-18,active
STF00336,S0016,员工0336,商品运营,staff0336@example.invalid,2024-07-11,active
STF00337,S0017,员工0337,店长,staff0337@example.invalid,2024-06-08,active
STF00338,S0018,员工0338,店长,staff0338@example.invalid,2025-12-29,active
STF00339,S0019,员工0339,仓配协调,staff0339@example.invalid,2026-01-18,active
STF00340,S0020,员工0340,商品运营,staff0340@example.invalid,2025-03-22,active
STF00341,S0021,员工0341,商品运营,staff0341@example.invalid,2025-05-01,active
STF00342,S0022,员工0342,商品运营,staff0342@example.invalid,2024-02-28,active
STF00343,S0023,员工0343,店长,staff0343@example.invalid,2025-03-17,active
STF00344,S0024,员工0344,客服,staff0344@example.invalid,2026-06-19,active
STF00345,S0025,员工0345,商品运营,staff0345@example.invalid,2024-05-16,left
STF00346,S0026,员工0346,活动运营,staff0346@example.invalid,2023-08-31,active
STF00347,S0027,员工0347,活动运营,staff0347@example.invalid,2024-06-20,active
STF00348,S0028,员工0348,商品运营,staff0348@example.invalid,2023-11-15,active
STF00349,S0029,员工0349,活动运营,staff0349@example.invalid,2024-10-09,active
STF00350,S0030,员工0350,商品运营,staff0350@example.invalid,2024-12-11,active
STF00351,S0031,员工0351,客服,staff0351@example.invalid,2025-07-31,active
STF00352,S0032,员工0352,活动运营,staff0352@example.invalid,2026-04-23,active
STF00353,S0033,员工0353,商品运营,staff0353@example.invalid,2024-09-20,active
STF00354,S0034,员工0354,客服,staff0354@example.invalid,2024-10-22,active
STF00355,S0035,员工0355,客服,staff0355@example.invalid,2024-08-06,active
STF00356,S0036,员工0356,客服,staff0356@example.invalid,2024-02-05,active
STF00357,S0037,员工0357,客服,staff0357@example.invalid,2025-02-05,active
STF00358,S0038,员工0358,客服,staff0358@example.invalid,2025-11-22,active
STF00359,S0039,员工0359,活动运营,staff0359@example.invalid,2025-04-30,active
STF00360,S0040,员工0360,仓配协调,staff0360@example.invalid,2025-10-16,active
STF00361,S0041,员工0361,店长,staff0361@example.invalid,2024-06-30,active
STF00362,S0042,员工0362,仓配协调,staff0362@example.invalid,2026-03-12,active
STF00363,S0043,员工0363,客服,staff0363@example.invalid,2024-12-08,active
STF00364,S0044,员工0364,客服,staff0364@example.invalid,2023-09-29,active
